alma_muro_c_p_1,alma_muro_c_p_1_puerta,ala_muro_c_p_1,alma_muro_c_p_18,ala_muro_c_p_18,alma_muro_c_p_18,ala_muro_c_p_18
10330102.773630686,11033833.054848662,7623375.565168167,7019522.693002442,5535685.428512153,10230512.140694197,5513158.975824138
18594558.73693255,19565407.667736623,13517918.024981666,12799724.381948031,9875226.573690997,18292044.818937805,9806800.806525521
